player_name,salary
Joakim Noah,"$6,431,666"
Jarrett Culver,"$6,395,160"
Khem Birch,"$6,350,000"
Collin Sexton,"$6,349,671"
Onyeka Okongwu,"$6,104,280"
Justin Holiday,"$6,006,420"
Josh Giddey,"$5,988,000"
Patrick Mills,"$5,890,000"
Rudy Gay,"$5,890,000"
Dennis Schroeder,"$5,890,000"
Kevin Knox,"$5,845,978"
Coby White,"$5,837,760"
Timofey Mozgov,"$5,573,333"
Killian Hayes,"$5,572,680"
Mikal Bridges,"$5,557,725"
Shai Gilgeous-Alexander,"$5,495,532"
Jonathan Kuminga,"$5,466,360"
Miles Bridges,"$5,421,493"
Jaxson Hayes,"$5,348,280"
Pat Connaughton,"$5,333,334"
Kris Dunn,"$5,317,430"
George Hill,"$5,275,491"
Michael Porter,"$5,258,735"
Dewayne Dedmon,"$5,256,308"
Ryan Anderson,"$5,214,583"
Hamidou Diallo,"$5,200,000"
Kevon Looney,"$5,178,572"
Troy Brown,"$5,170,564"
Obi Toppin,"$5,105,160"
Franz Wagner,"$5,007,840"
Josh Jackson,"$5,005,350"
Kendrick Nunn,"$5,000,000"
Louis Williams,"$5,000,000"
Luol Deng,"$5,000,000"
Robin Lopez,"$5,000,000"
JaVale McGee,"$5,000,000"
Danuel House,"$4,997,424"
Rui Hachimura,"$4,916,160"
Garrett Temple,"$4,910,000"
Taj Gibson,"$4,910,000"
Torrey Craig,"$4,878,049"
Bruce Brown,"$4,736,102"
Deni Avdija,"$4,692,840"
Donte DiVincenzo,"$4,675,830"
Cam Reddish,"$4,670,160"
David Nwaba,"$4,650,000"
Furkan Korkmaz,"$4,629,630"
Davion Mitchell,"$4,603,200"
Ishmael Smith,"$4,500,000"
Jeff Green,"$4,500,000"
Bryn Forbes,"$4,500,000"
Jalen Smith,"$4,458,000"
Lonnie Walker,"$4,447,896"
Cameron Johnson,"$4,437,000"
Ziaire Williams,"$4,373,040"
Bobby Portis,"$4,347,600"
Moe Harkless,"$4,347,600"
Kevin Huerter,"$4,253,357"
Devin Vassell,"$4,235,160"
Chandler Hutchison,"$4,224,186"
Willie Cauley-Stein,"$4,220,083"
PJ Washington,"$4,215,120"
James Bouknight,"$4,154,400"
Jevon Carter,"$4,107,149"
Josh Okogie,"$4,087,904"
Grayson Allen,"$4,054,695"
Jarred Vanderbilt,"$4,050,000"
Tyrese Haliburton,"$4,023,600"
Tyler Herro,"$4,004,280"
Dorian Finney-Smith,"$4,000,000"
Terence Davis,"$4,000,000"
Gorgui Dieng,"$4,000,000"
Aaron Holiday,"$3,980,551"
Josh Primo,"$3,946,800"
Jake Layman,"$3,940,184"
Anfernee Simons,"$3,938,818"
Justise Winslow,"$3,902,439"
Kira Lewis,"$3,822,240"
Romeo Langford,"$3,804,360"
Sekou Doumbouya,"$3,799,131"
Landry Shamet,"$3,768,342"
Chris Duarte,"$3,749,400"
Alex Len,"$3,732,000"
Robert Williams,"$3,661,976"
Aaron Nesmith,"$3,631,200"
Moses Moody,"$3,562,200"
Boban Marjanovic,"$3,500,000"
Mike Muscala,"$3,500,000"
Cole Anthony,"$3,449,400"
Corey Kispert,"$3,383,640"
Luka Samanic,"$3,355,239"
Georges Niang,"$3,300,000"
Michael Carter-Williams,"$3,300,000"
Isaiah Stewart,"$3,277,080"
Chuma Okeke,"$3,277,080"
Nickeil Alexander-Walker,"$3,261,480"
Alperen Sengun,"$3,214,680"
Facundo Campazzo,"$3,200,000"
Jon Leuer,"$3,169,348"
Trey Burke,"$3,150,000"
Aleksej Pokusevski,"$3,113,160"
