PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1630264,00,0,70,4,9.7,1.3,2.4,0.544,0.3,0.7,0.42,0.8,1.0,0.809,0.7,1.2,1.9,0.5,0.2,0.2,0.4,1.2,3.7
203497,00,0,611,519,30.0,4.6,7.0,0.653,0.0,0.0,0.0,3.3,5.1,0.638,3.3,8.3,11.7,1.3,0.7,2.2,1.6,2.6,12.4
1629164,00,0,133,11,12.1,1.7,4.4,0.39,0.6,1.9,0.315,0.7,0.9,0.73,0.3,1.3,1.6,1.9,0.4,0.0,0.8,1.0,4.7
203932,00,0,528,439,28.9,4.9,10.7,0.46,1.1,3.4,0.323,2.1,2.9,0.702,1.6,4.7,6.3,2.5,0.7,0.6,1.5,2.0,13.0
201569,00,0,749,570,32.4,5.6,13.0,0.428,2.3,6.3,0.371,2.9,3.6,0.81,0.4,2.0,2.4,2.8,0.9,0.3,2.0,1.9,16.4
1628984,00,0,240,163,27.9,4.1,11.1,0.372,2.6,7.3,0.357,2.0,2.4,0.827,0.5,2.0,2.5,5.0,0.9,0.1,1.7,1.4,12.8
203924,00,0,555,270,26.0,3.9,8.7,0.452,1.0,3.0,0.349,2.5,3.5,0.723,0.9,3.1,3.9,1.3,0.6,1.1,1.1,2.3,11.4
201980,00,0,819,709,25.3,3.1,7.3,0.421,1.9,4.8,0.399,0.7,0.8,0.804,0.6,2.8,3.4,1.6,1.0,0.8,1.0,1.8,8.7
203110,00,0,685,535,28.5,3.2,7.2,0.441,0.8,2.6,0.315,1.5,2.1,0.712,1.1,5.8,6.9,5.4,1.4,1.0,2.2,2.8,8.7
203210,00,0,487,165,20.8,3.0,6.3,0.472,0.8,2.2,0.366,1.2,1.5,0.785,1.7,4.0,5.7,0.9,0.6,0.4,1.1,2.6,7.9
1630224,00,0,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2.0,1.5,17.3
1629750,00,0,154,49,16.0,1.9,3.6,0.528,0.4,1.1,0.335,0.9,1.2,0.775,0.9,1.9,2.9,0.7,0.8,0.3,0.5,1.4,5.0
201145,00,0,1051,647,29.0,4.6,10.2,0.448,1.0,3.1,0.339,2.5,3.0,0.806,0.9,3.4,4.3,1.5,0.7,0.5,1.4,2.2,12.6
1630182,00,0,106,8,14.0,1.6,3.3,0.493,0.3,1.0,0.311,0.4,0.6,0.647,0.8,1.5,2.3,1.0,0.6,0.2,0.6,1.4,4.0
